danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
0.697,0.761,11,-7.647,0,0.302,0.157,0.0,0.789,0.666,81.728,audio_features,7cFpB4ozcSwXuhqjvNbrbP,spotify:track:7cFpB4ozcSwXuhqjvNbrbP,https://api.spotify.com/v1/tracks/7cFpB4ozcSwXuhqjvNbrbP,https://api.spotify.com/v1/audio-analysis/7cFpB4ozcSwXuhqjvNbrbP,211493,4
0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,audio_features,0r2Bul2NuCViraT2zX1l5j,spotify:track:0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j,334067,4
0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,audio_features,0k1WUmIRnG3xU6fvvDVfRG,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG,257605,4
0.741,0.51,9,-10.507,0,0.262,0.493,0.0,0.121,0.841,160.039,audio_features,5DhHtzRjVTVvRl1eajvYPe,spotify:track:5DhHtzRjVTVvRl1eajvYPe,https://api.spotify.com/v1/tracks/5DhHtzRjVTVvRl1eajvYPe,https://api.spotify.com/v1/audio-analysis/5DhHtzRjVTVvRl1eajvYPe,95915,4
0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,audio_features,40iJIUlhi6renaREYGeIDS,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,291175,4
0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,audio_features,3J4VKkUpLvomXJbn9ZAypO,spotify:track:3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/tracks/3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/audio-analysis/3J4VKkUpLvomXJbn9ZAypO,161053,4
0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011,audio_features,4KDNRh9Oor80z3XIxdWlui,spotify:track:4KDNRh9Oor80z3XIxdWlui,https://api.spotify.com/v1/tracks/4KDNRh9Oor80z3XIxdWlui,https://api.spotify.com/v1/audio-analysis/4KDNRh9Oor80z3XIxdWlui,165067,4
0.798,0.574,1,-6.548,1,0.157,0.024,0.0,0.122,0.309,155.964,audio_features,4eL3XeuGaEoVT8ttDh3hwY,spotify:track:4eL3XeuGaEoVT8ttDh3hwY,https://api.spotify.com/v1/tracks/4eL3XeuGaEoVT8ttDh3hwY,https://api.spotify.com/v1/audio-analysis/4eL3XeuGaEoVT8ttDh3hwY,138587,4
0.773,0.623,2,-5.267,1,0.196,0.00194,0.0,0.133,0.13,153.1,audio_features,5qyZ6LcHvBiIHLaoED8K4g,spotify:track:5qyZ6LcHvBiIHLaoED8K4g,https://api.spotify.com/v1/tracks/5qyZ6LcHvBiIHLaoED8K4g,https://api.spotify.com/v1/audio-analysis/5qyZ6LcHvBiIHLaoED8K4g,150527,4
